County,"Registered Voters","Active Voters","Inactive Voters","Total Ballots Cast"
"Precinct 6294203521",924,787,137,502
"Precinct 6294203522","1,090",959,131,642
"Precinct 6294203523","1,455","1,280",175,878
"Precinct 6294203524","1,052",854,198,520
"Precinct 6294203525","1,069",897,172,524
"Precinct 6294203526",951,812,139,484
"Precinct 6294203527","1,301","1,005",296,573
"Precinct 6294203528",619,483,136,251
"Precinct 6294203529",571,414,157,204
"Precinct 6294203530","1,226",946,280,459
"Precinct 6294203531",920,803,117,498
"Precinct 6294203532","1,293",935,358,595
"Precinct 6294203533","1,678","1,290",388,800
"Precinct 6294203534","1,357",813,544,482
"Precinct 6294203535",928,812,116,605
"Precinct 6294203536",966,655,311,361
"Precinct 6295603326","1,488","1,380",108,"1,264"
"Precinct 6295603327","1,210","1,081",129,781
"Precinct 6295603329","1,484","1,208",276,833
"Precinct 6295603330","2,025","1,765",260,"1,270"
"Precinct 6295603353","1,191","1,057",134,828
"Precinct 6295603354","1,723","1,551",172,"1,247"
"Precinct 6295603355","2,308","2,158",150,"1,612"
"Precinct 6295603356",869,839,30,672
"Precinct 6295603375","1,214",988,226,754
"Precinct 6295603376","1,434","1,336",98,"1,174"
"Precinct 6295603377","1,741","1,628",113,"1,305"
"Precinct 6295603379","1,030",923,107,735
"Precinct 6295603380",819,752,67,601
Archuleta,"11,172","9,199","1,973","6,957"
"Precinct 3065904001","1,302","1,119",183,818
"Precinct 3065904002","1,126",956,170,740
"Precinct 3065904003",895,754,141,605
"Precinct 3065904004",474,399,75,290
"Precinct 3065904005","1,261","1,024",237,669
"Precinct 3065904006","1,968","1,631",337,"1,315"
"Precinct 3065904007","2,074","1,591",483,"1,224"
"Precinct 3065904008","2,072","1,725",347,"1,296"
Baca,"2,851","2,582",269,"1,958"
"Precinct 4356405001",326,310,16,234
"Precinct 4356405002",378,338,40,258
"Precinct 4356405003",204,186,18,142
"Precinct 4356405004",466,412,54,303
"Precinct 4356405005",152,138,14,113
"Precinct 4356405006",202,185,17,143
"Precinct 4356405007",531,470,61,354
"Precinct 4356405008",491,448,43,341
"Precinct 4356405009",101,95,6,70
Bent,"3,132","2,568",564,"1,921"
"Precinct 4356406001",550,431,119,331
"Precinct 4356406002",601,534,67,406
"Precinct 4356406003",757,593,164,437
"Precinct 4356406004",607,485,122,330
"Precinct 4356406005",617,525,92,417
Boulder,"248,491","216,918","31,573","178,484"
"Precinct 2161307900",540,491,49,426
"Precinct 2161307901",735,663,72,534
"Precinct 2161307902",321,282,39,231
"Precinct 2163307100","1,520","1,377",143,"1,149"
"Precinct 2163307101","1,390","1,266",124,"1,085"
"Precinct 2163307102","1,507","1,081",426,734
"Precinct 2163307103","1,218","1,147",71,968
"Precinct 2163307104","1,194","1,112",82,944
"Precinct 2163307105",570,482,88,384
"Precinct 2163307106","1,110","1,034",76,874
"Precinct 2163307107",895,807,88,646
"Precinct 2171207200",685,635,50,541
"Precinct 2171207201",712,658,54,575
"Precinct 2171207202","1,250","1,116",134,926
"Precinct 2171207203","1,042","1,005",37,892
"Precinct 2171207204","1,067",963,104,831
"Precinct 2171207205","1,022",965,57,831
"Precinct 2171207206",579,549,30,502
"Precinct 2171207207","1,025",954,71,845
"Precinct 2171207208","1,144","1,065",79,951
"Precinct 2171207209",639,613,26,553
"Precinct 2171207210",983,917,66,814
"Precinct 2171207211","1,187","1,082",105,903
"Precinct 2171207212","1,513","1,370",143,"1,120"
"Precinct 2171207213","1,381","1,269",112,"1,101"
"Precinct 2171207214","1,361","1,252",109,"1,093"
"Precinct 2171207215",953,887,66,763
"Precinct 2171207300","1,676","1,498",178,"1,247"
"Precinct 2171207301","1,982","1,836",146,"1,376"
"Precinct 2171207302","1,642","1,533",109,"1,307"
"Precinct 2171207303","1,079",940,139,746
"Precinct 2171207304",948,891,57,784
"Precinct 2171207305","1,252","1,106",146,897
"Precinct 2171207306","1,331","1,200",131,982
"Precinct 2171207307","1,155",912,243,600
"Precinct 2171207308","1,115",996,119,831
"Precinct 2171207309","1,228","1,113",115,941
"Precinct 2171207310","1,438","1,313",125,"1,099"
"Precinct 2171207311",940,839,101,692
"Precinct 2171207312","1,039",967,72,854
"Precinct 2171207313","1,380","1,293",87,"1,122"
"Precinct 2171207314","1,461","1,395",66,"1,228"
"Precinct 2171207315",910,819,91,715
"Precinct 2171207316","1,282","1,205",77,"1,042"
"Precinct 2171207407",480,457,23,381
"Precinct 2173307400",134,126,8,115
"Precinct 2173307408","1,338","1,220",118,"1,052"
"Precinct 2173307409","1,750","1,607",143,"1,322"
"Precinct 2173307410","1,188","1,128",60,975
"Precinct 2173307411","1,253","1,211",42,"1,070"
"Precinct 2173307412","1,840","1,730",110,"1,453"
"Precinct 2173307413","1,383","1,265",118,"1,050"
"Precinct 2181007500","1,019",914,105,770
"Precinct 2181007501",961,907,54,802
"Precinct 2181007502","1,099","1,029",70,891
"Precinct 2181007503","1,561","1,464",97,"1,331"
"Precinct 2181007504",785,745,40,659
"Precinct 2181007800",950,868,82,748
"Precinct 2181007801",934,797,137,679
"Precinct 2181007802","1,270",997,273,808
"Precinct 2181007803","1,181",974,207,800
"Precinct 2181007804","1,395","1,289",106,"1,125"
"Precinct 2181007805",511,483,28,427
"Precinct 2181007806","1,448","1,198",250,"1,001"
"Precinct 2181007807","1,257","1,158",99,"1,004"
"Precinct 2181007808","2,197","1,933",264,"1,569"
"Precinct 2181007809","1,116","1,027",89,919
"Precinct 2181007810","1,105","1,040",65,882
"Precinct 2181007811","1,367","1,278",89,"1,134"
"Precinct 2181007812","1,235","1,141",94,970
"Precinct 2181007813","1,055",944,111,727
"Precinct 2181007814","1,213","1,081",132,925
"Precinct 2181007815","1,032",817,215,670
"Precinct 2181007816","1,328","1,119",209,948
"Precinct 2181007817",861,810,51,723
"Precinct 2181007818","1,168","1,035",133,907
"Precinct 2181007819","1,015",878,137,752
"Precinct 2181007820",738,661,77,597
"Precinct 2181007821","1,276","1,079",197,900
"Precinct 2181007822","1,223",976,247,754
"Precinct 2181007823","2,346","1,884",462,"1,384"
"Precinct 2181007824","1,264","1,111",153,920
"Precinct 2181007825",696,617,79,549
"Precinct 2181007826",955,834,121,715
"Precinct 2181007827","1,108",890,218,735
"Precinct 2181007828",877,668,209,550
"Precinct 2181007829",996,720,276,567
"Precinct 2181007830","1,049",712,337,543
"Precinct 2181007831","1,180",777,403,610
"Precinct 2181007832",425,322,103,248
"Precinct 2181007833","1,135",674,461,503
"Precinct 2181007834","1,798",819,979,585
"Precinct 2181007835",822,453,369,334
"Precinct 2181007836",636,486,150,413
"Precinct 2181007837","1,251",924,327,664
"Precinct 2181007838",661,450,211,336
"Precinct 2181007839",672,612,60,543
"Precinct 2181007840",724,611,113,525
"Precinct 2181007841",660,558,102,495
"Precinct 2181007842","1,221","1,111",110,961
"Precinct 2181007843","1,367","1,272",95,"1,125"
"Precinct 2181007844",854,738,116,588
"Precinct 2181007845","1,071",849,222,708
"Precinct 2181007846","1,603","1,196",407,838
"Precinct 2181007847","1,160",789,371,532
"Precinct 2181007848",803,649,154,531
"Precinct 2181007849","1,496",653,843,449
"Precinct 2181007850",722,673,49,587
"Precinct 2181007851","1,142",995,147,846
"Precinct 2181007852","1,278","1,096",182,909
"Precinct 2181007853","1,063",841,222,672
"Precinct 2181107505",941,848,93,734
"Precinct 2181107506",647,595,52,502
"Precinct 2181107507","1,257","1,180",77,"1,014"
"Precinct 2181107508",809,757,52,676
"Precinct 2181107700","1,011",938,73,816
"Precinct 2181107701",608,577,31,507
"Precinct 2181107702",387,361,26,316
"Precinct 2181107703",495,472,23,407
"Precinct 2181107704",383,349,34,297
"Precinct 2181107705",696,663,33,550
"Precinct 2181107912","1,232","1,153",79,"1,013"
"Precinct 2181107913",706,675,31,589
"Precinct 2181107916",516,466,50,389
"Precinct 2181107917","1,490","1,353",137,"1,172"
"Precinct 2181107918","1,264","1,170",94,"1,010"
"Precinct 2181207401",755,718,37,612
"Precinct 2181207402",662,640,22,561
"Precinct 2181207403","1,011",946,65,819
"Precinct 2181207404","1,042",961,81,847
"Precinct 2181207405",522,498,24,419
"Precinct 2181207406",745,717,28,605
"Precinct 2181307854","1,208",992,216,761
"Precinct 2181307855","1,037",818,219,680
"Precinct 2181307856",697,636,61,544
"Precinct 2181307857",952,849,103,739
"Precinct 2181307858","1,036",943,93,839
"Precinct 2181307859",882,821,61,743
"Precinct 2181307860",696,646,50,563
"Precinct 2181307861",669,609,60,544
"Precinct 2181307862",707,646,61,580
"Precinct 2181307863",854,792,62,704
"Precinct 2181307864",700,647,53,575
"Precinct 2181307865",808,647,161,528
"Precinct 2181307866","1,020",894,126,751
"Precinct 2181307867",981,830,151,687
"Precinct 2181307868",925,884,41,799
"Precinct 2181307869",676,577,99,517
"Precinct 2181307870",847,726,121,527
"Precinct 2181307871",958,791,167,650
"Precinct 2181307872","1,176",721,455,507
"Precinct 2181307873",502,462,40,401
"Precinct 2181307874","1,181","1,034",147,850
"Precinct 2181307875",842,558,284,355
"Precinct 2181307876","1,231",669,562,418
"Precinct 2181307877",852,675,177,588
"Precinct 2181307878",956,676,280,548
"Precinct 2181307879","1,031",697,334,549
"Precinct 2181307880","1,542",839,703,577
"Precinct 2181307881",838,665,173,538
"Precinct 2181307882",733,656,77,561
"Precinct 2181307883",946,811,135,713
"Precinct 2181307884","1,215",897,318,725
"Precinct 2181307885",692,617,75,549
"Precinct 2181307886",888,802,86,719
"Precinct 2181307887","1,063",979,84,839
"Precinct 2181307888",878,827,51,755
"Precinct 2181307903","2,125","1,845",280,"1,563"
"Precinct 2181307904",565,520,45,429
"Precinct 2181307905",315,286,29,246
"Precinct 2181307906",583,552,31,472
"Precinct 2181307908","1,076",995,81,839
"Precinct 2181307909",611,561,50,489
"Precinct 2181307910",836,769,67,643
"Precinct 2181307911","1,017",944,73,821
"Precinct 2181307914",630,591,39,516
"Precinct 2181307915",444,393,51,314
"Precinct 4171107616","1,190","1,119",71,926
"Precinct 4171107617","2,294","2,097",197,"1,674"
"Precinct 4171107618","2,003","1,896",107,"1,589"
"Precinct 4171107619","1,889","1,557",332,"1,109"
"Precinct 4171107620","1,634","1,400",234,"1,152"
"Precinct 4171107621","1,172","1,067",105,881
"Precinct 4171107622",877,767,110,561
"Precinct 4171107623","1,416","1,193",223,887
"Precinct 4171107624",994,859,135,721
"Precinct 4171107625",910,835,75,717
"Precinct 4171107626","1,220","1,098",122,882
"Precinct 4171107627",911,749,162,498
"Precinct 4171107628","1,049",959,90,808
"Precinct 4171107629",690,623,67,498
"Precinct 4171107630","1,059",917,142,665
"Precinct 4171107631",765,681,84,488
"Precinct 4171107632","1,329","1,232",97,972
"Precinct 4171107633","1,126",925,201,545
"Precinct 4171107634",937,788,149,597
"Precinct 4171107635",872,798,74,641
"Precinct 4171107636","1,226","1,141",85,941
"Precinct 4171107637","1,428","1,224",204,978
"Precinct 4171107638","1,024",959,65,840
"Precinct 4171107639",979,901,78,758
"Precinct 4171107640",944,861,83,723
"Precinct 4171107641",905,816,89,642
"Precinct 4171107642","1,376","1,250",126,979
"Precinct 4171107643",901,809,92,571
"Precinct 4171107644","1,054",870,184,567
"Precinct 4171107645",942,870,72,666
"Precinct 4171107646","1,018",940,78,778
"Precinct 4171107647","1,578","1,473",105,"1,212"
"Precinct 4171107648","1,275","1,103",172,766
"Precinct 4171107649",971,817,154,564
"Precinct 4171107650",882,789,93,594
"Precinct 4171107651","1,061",949,112,742
"Precinct 4171107652","1,229","1,011",218,741
"Precinct 4171107653",773,741,32,627
"Precinct 4171107654","1,559","1,321",238,"1,047"
"Precinct 4171207600","1,922","1,769",153,"1,477"
"Precinct 4171207601","1,688","1,573",115,"1,313"
"Precinct 4171207602",902,828,74,658
"Precinct 4171207603","1,441","1,312",129,"1,061"
"Precinct 4171207604","1,072",984,88,769
"Precinct 4171207605","1,163","1,070",93,778
"Precinct 4171207606",998,906,92,682
"Precinct 4171207607","1,132","1,034",98,801
"Precinct 4171207608","1,106",952,154,650
"Precinct 4171207609",639,523,116,311
"Precinct 4171207610","1,975","1,708",267,"1,235"
"Precinct 4171207611","1,237","1,115",122,860
"Precinct 4171207612","1,043",975,68,816
"Precinct 4171207613",944,873,71,671
"Precinct 4171207614","1,562","1,447",115,"1,267"
"Precinct 4171207615",863,803,60,681
"Precinct 4181107706",203,193,10,159
"Precinct 4181107707",686,655,31,570
"Precinct 4181107708",751,699,52,584
Broomfield,"52,117","45,752","6,365","36,674"
"Precinct 2233364001","1,302","1,123",179,924
"Precinct 2233364002","2,550","1,865",685,"1,345"
"Precinct 2233364003","1,783","1,360",423,965
"Precinct 2233364004","1,927","1,636",291,"1,318"
"Precinct 2233364005",149,98,51,49
"Precinct 2233364006","2,466","2,024",442,"1,440"
"Precinct 2233364007","1,029",815,214,620
"Precinct 2233364008",786,630,156,505
"Precinct 2233364009",909,796,113,642
"Precinct 2233364010","1,203","1,119",84,932
"Precinct 2233364011","1,235","1,119",116,877
"Precinct 2233364012","1,241","1,172",69,"1,029"
"Precinct 2233364013","1,052",900,152,696
"Precinct 2233364014","1,129",995,134,810
"Precinct 2233364015","1,220","1,098",122,929
"Precinct 2233364016","1,207","1,133",74,977
"Precinct 2233364017","1,616","1,506",110,"1,257"
"Precinct 2233364018","1,009",838,171,658
"Precinct 2233364019","1,541","1,250",291,907
"Precinct 2233364020","1,053",928,125,748
"Precinct 2233364021","2,066","1,812",254,"1,399"
"Precinct 2233364022","1,364","1,244",120,998
"Precinct 2233364023","1,162","1,089",73,896
"Precinct 2233364024","2,109","1,951",158,"1,624"
"Precinct 2233364025","2,080","1,876",204,"1,567"
"Precinct 2233364026","1,211","1,096",115,970
"Precinct 2233364027","1,714","1,463",251,"1,136"
"Precinct 2233364028",686,544,142,283
"Precinct 2233364029","1,270","1,160",110,886
"Precinct 2233364030","1,255","1,104",151,814
"Precinct 2233364031","1,107",995,112,735
"Precinct 2233364032","2,156","1,964",192,"1,684"
"Precinct 2233364033","1,748","1,585",163,"1,329"
"Precinct 2233364034",618,575,43,481
"Precinct 2233364035","2,097","2,024",73,"1,912"
"Precinct 2233364036","2,401","2,233",168,"1,877"
"Precinct 2233364037",666,632,34,455
Chaffee,"15,516","13,464","2,052","11,151"
"Precinct 5056008001","1,531","1,388",143,"1,165"
"Precinct 5056008002","1,978","1,704",274,"1,392"
"Precinct 5056008003","2,334","1,995",339,"1,548"
"Precinct 5056008004","1,155","1,043",112,884
"Precinct 5056008005","1,797","1,575",222,"1,338"
"Precinct 5056008006","2,017","1,769",248,"1,495"
"Precinct 5056008007","1,611","1,398",213,"1,190"
"Precinct 5056008008","1,606","1,353",253,"1,155"
"Precinct 5056008009","1,487","1,239",248,984
Cheyenne,"1,403","1,237",166,"1,027"
"Precinct 4016509001",158,139,19,106
"Precinct 4016509002",406,339,67,282
"Precinct 4016509003",451,404,47,337
"Precinct 4016509004",316,286,30,245
"Precinct 4016509005",72,69,3,57
"Clear Creek","8,248","7,035","1,213","5,465"
"Precinct 2021310001","1,182",995,187,756
"Precinct 2021310002",449,353,96,252
"Precinct 2021310003",511,429,82,313
"Precinct 2021310004","1,100",900,200,641
"Precinct 2021310005",919,804,115,610
"Precinct 2021310006",672,541,131,378
"Precinct 2021310007","1,380","1,184",196,969
"Precinct 2021310008",825,745,80,614
"Precinct 2021310009","1,210","1,084",126,932
Conejos,"5,514","4,957",557,"3,649"
"Precinct 3356211001",490,450,40,307
"Precinct 3356211002",562,503,59,376
"Precinct 3356211003",427,376,51,297
"Precinct 3356211004",541,494,47,352
"Precinct 3356211005",595,525,70,365
"Precinct 3356211006",729,660,69,519
"Precinct 3356211007",399,363,36,260
"Precinct 3356211008",823,736,87,543
"Precinct 3356211009",474,430,44,336
"Precinct 3356211010",474,420,54,294
Costilla,"2,847","2,510",337,"1,707"
"Precinct 3356212001",239,222,17,156
"Precinct 3356212002",262,251,11,176
"Precinct 3356212003",189,178,11,128
"Precinct 3356212004",369,333,36,210
"Precinct 3356212005",231,192,39,115
"Precinct 3356212006",128,113,15,73
"Precinct 3356212007",841,718,123,525
"Precinct 3356212008",588,503,85,324
Crowley,"2,238","1,993",245,"1,426"
"Precinct 4356413001",464,414,50,280
"Precinct 4356413002",378,335,43,247
"Precinct 4356413003",319,279,40,198
"Precinct 4356413004",345,317,28,238
"Precinct 4356413005",351,324,27,247
"Precinct 4356413006",381,324,57,216
Custer,"4,095","3,659",436,"2,923"
"Precinct 3356014001","2,146","1,902",244,"1,485"
"Precinct 3356014002",437,382,55,296
"Precinct 3356014003","1,512","1,375",137,"1,142"
Delta,"22,411","20,123","2,288","15,390"
"Precinct 3055415001","1,182","1,117",65,909
"Precinct 3055415002",821,719,102,500
"Precinct 3055415003",847,708,139,470
"Precinct 3055415004","1,284","1,052",232,717
"Precinct 3055415005",862,776,86,574
"Precinct 3055415006","1,135","1,018",117,753
"Precinct 3055415007","1,136","1,022",114,767
"Precinct 3056115008","1,328","1,173",155,796
"Precinct 3056115009","1,328","1,220",108,920
"Precinct 3056115010","1,149","1,044",105,797
"Precinct 3056115011","1,125","1,009",116,791
"Precinct 3056115012",884,788,96,583
"Precinct 3056115013","1,049",969,80,775
"Precinct 3056115014","1,193","1,102",91,917
"Precinct 3056115015","1,422","1,306",116,"1,078"
"Precinct 3056115016","1,168","1,044",124,816
"Precinct 3056115017","1,132","1,014",118,770
"Precinct 3056115018","1,284","1,177",107,928
"Precinct 3056115019",921,813,108,662
"Precinct 3056115020","1,161","1,052",109,867
Denver,"487,762","420,695","67,067","312,695"
"Precinct 1160116112","1,194","1,082",112,811
"Precinct 1160116113","1,084","1,025",59,791
"Precinct 1160116114","1,374","1,218",156,901
"Precinct 1160116120","1,840","1,478",362,967
"Precinct 1160116122","1,317","1,216",101,937
"Precinct 1160116123","1,402","1,257",145,"1,024"
"Precinct 1160116124","1,243","1,156",87,873
"Precinct 1160116125","1,441","1,271",170,937
"Precinct 1160116126","1,670","1,380",290,972
"Precinct 1160116127","1,751","1,477",274,"1,107"
"Precinct 1160116128","1,013",951,62,772
"Precinct 1160116129",916,846,70,718
"Precinct 1160116130","1,278","1,161",117,831
"Precinct 1160116131","1,321","1,198",123,893
"Precinct 1160116132","1,434","1,263",171,"1,018"
"Precinct 1310216204","1,962","1,527",435,"1,124"
"Precinct 1310216205","1,769","1,441",328,"1,076"
"Precinct 1310216206","2,175","1,700",475,"1,301"
"Precinct 1310216207","1,639","1,396",243,"1,098"
"Precinct 1310216208","1,771","1,435",336,"1,109"
"Precinct 1310216209","1,326","1,122",204,913
"Precinct 1310216210","1,558","1,324",234,"1,091"
"Precinct 1310216211","1,376","1,150",226,950
"Precinct 1310516530",163,127,36,75
"Precinct 1310616605",919,841,78,740
"Precinct 1310616606","1,080",957,123,833
"Precinct 1310616607",809,741,68,655
"Precinct 1310616609",327,302,25,274
"Precinct 1310616610",427,383,44,352
"Precinct 1310616611",893,804,89,690
"Precinct 1310616612","1,262","1,130",132,929
"Precinct 1310616613","1,302","1,187",115,985
"Precinct 1310616614",801,734,67,631
"Precinct 1310616615","1,001",928,73,830
"Precinct 1310616617","1,149","1,021",128,856
"Precinct 1310616618","1,002",903,99,788
"Precinct 1310616619","1,123","1,030",93,866
"Precinct 1310616622","1,247","1,157",90,"1,016"
"Precinct 1310616623","1,307","1,244",63,"1,091"
"Precinct 1310616624","1,325","1,250",75,"1,090"
"Precinct 1310616625",920,846,74,700
"Precinct 1310616626",945,819,126,662
"Precinct 1310616627","1,204","1,144",60,992
"Precinct 1310616628","1,672","1,428",244,"1,086"
"Precinct 1310616629","1,123","1,068",55,951
"Precinct 1310616630",861,820,41,690
"Precinct 1310616631","2,169","1,679",490,"1,223"
"Precinct 1310616641","1,561","1,394",167,"1,084"
"Precinct 1310616642","1,173","1,079",94,878
"Precinct 1310616643","1,000",845,155,600
"Precinct 1310616644","1,176","1,081",95,931
"Precinct 1310616645","1,077",998,79,837
"Precinct 1310616646","1,868","1,410",458,931
"Precinct 1310616647","1,366","1,218",148,933
"Precinct 1310616648","1,373","1,231",142,991
"Precinct 1310616649","2,337","1,751",586,"1,077"
"Precinct 1310616650","1,292","1,072",220,834
"Precinct 1310616651","1,687","1,190",497,793
"Precinct 1310616652","1,118","1,046",72,938
"Precinct 1310816841","1,541","1,244",297,"1,009"
"Precinct 1310816842","1,198","1,037",161,835
"Precinct 1310816843","1,314","1,101",213,885
"Precinct 1310816844","1,682","1,390",292,"1,106"
"Precinct 1310816845","1,287","1,089",198,887
"Precinct 1310816846","1,360","1,133",227,948
"Precinct 1310816848","1,441","1,198",243,984
"Precinct 1310816849","1,500","1,269",231,"1,081"
"Precinct 1310816850","1,192","1,064",128,951
"Precinct 1310816851","1,478","1,310",168,"1,106"
"Precinct 1310816852","1,044",952,92,856
"Precinct 1310816853","1,005",955,50,852
"Precinct 1310816854","1,226","1,082",144,917
"Precinct 1310816855",840,686,154,495
"Precinct 1310816856","1,805","1,478",327,"1,101"
"Precinct 1310916901","1,929","1,525",404,"1,093"
"Precinct 1310916903","1,409","1,283",126,"1,077"
"Precinct 1310916904","1,318","1,216",102,"1,051"
"Precinct 1310916905",314,294,20,251
"Precinct 1310916906","1,129","1,053",76,901
"Precinct 1310916908","1,428","1,267",161,"1,020"
"Precinct 1310916909","1,409","1,311",98,"1,122"
"Precinct 1310916910","1,773","1,568",205,"1,235"
"Precinct 1310916911","2,186","1,727",459,"1,128"
"Precinct 1310916912","1,603","1,323",280,994
"Precinct 1310916916","1,981","1,699",282,"1,350"
"Precinct 1310916917","1,571","1,438",133,"1,219"
"Precinct 1310916918","1,382","1,298",84,"1,126"
"Precinct 1310916919","1,388","1,306",82,"1,152"
"Precinct 1310916920","1,388","1,262",126,"1,032"
"Precinct 1310916921","2,280","1,698",582,"1,013"
"Precinct 1310916922","2,123","1,697",426,"1,221"
"Precinct 1310916923","1,776","1,414",362,"1,009"
"Precinct 1310916924","1,858","1,222",636,599
"Precinct 1310916927","1,133","1,022",111,842
"Precinct 1310916928",900,857,43,741
"Precinct 1310916929","1,106",945,161,718
"Precinct 1310916930","1,120","1,002",118,710
"Precinct 1310916931",798,762,36,677
"Precinct 1310916932","1,316","1,144",172,856
"Precinct 1310916933",818,780,38,658
"Precinct 1310916934","1,059",908,151,685
"Precinct 1310916935","1,870","1,424",446,991
"Precinct 1310916936","1,374","1,076",298,735
"Precinct 1310916937","1,265","1,127",138,929
"Precinct 1310916938","1,530","1,297",233,956
"Precinct 1310916940","1,115",941,174,699
"Precinct 1320116103","1,565","1,422",143,902
"Precinct 1320116104","1,375","1,186",189,654
"Precinct 1320116105","1,624","1,479",145,974
"Precinct 1320116106","1,753","1,585",168,992
"Precinct 1320116107","1,823","1,640",183,"1,079"
"Precinct 1320116108","1,839","1,642",197,"1,095"
"Precinct 1320116109","1,219","1,074",145,568
"Precinct 1320116110","1,490","1,387",103,"1,058"
"Precinct 1320116111","1,731","1,582",149,"1,107"
"Precinct 1320116115",458,424,34,346
"Precinct 1320116116","1,290","1,219",71,937
"Precinct 1320116117","1,216","1,134",82,852
"Precinct 1320116118","1,532","1,183",349,733
"Precinct 1320116119","1,663","1,439",224,721
"Precinct 1320116121","1,306","1,222",84,894
"Precinct 1320216212","1,582","1,347",235,"1,165"
"Precinct 1320216213","1,203","1,072",131,770
"Precinct 1320216214","1,261","1,061",200,849
"Precinct 1320216215","1,842","1,569",273,"1,264"
"Precinct 1320216216","1,507","1,317",190,"1,098"
"Precinct 1320216217","1,398","1,227",171,"1,022"
"Precinct 1320216218","1,109",923,186,692
"Precinct 1320216219","2,546","2,185",361,"1,776"
"Precinct 1320216220","2,079","1,788",291,"1,439"
"Precinct 1320216221","1,998","1,752",246,"1,438"
"Precinct 1320216222","1,159","1,022",137,865
"Precinct 1320216223",975,860,115,731
"Precinct 1320216224","1,453","1,283",170,"1,043"
"Precinct 1320216225",935,843,92,714
"Precinct 1320216226",984,872,112,716
"Precinct 1320216227","1,042",917,125,769
"Precinct 1320216228",651,614,37,551
"Precinct 1320216229",868,808,60,710
"Precinct 1320216230",939,873,66,768
"Precinct 1320216231","1,012",916,96,769
"Precinct 1320216232","1,226",985,241,687
"Precinct 1320216233","2,087","1,861",226,"1,570"
"Precinct 1320216234","1,813","1,631",182,"1,405"
"Precinct 1320216235","1,536","1,403",133,"1,236"
"Precinct 1320216236","1,317","1,182",135,974
"Precinct 1320216237","2,501","1,406","1,095",950
"Precinct 1320216238","2,194","1,850",344,"1,408"
"Precinct 1320216239","1,446","1,297",149,"1,018"
"Precinct 1320216240","1,229","1,082",147,741
"Precinct 1320216241","1,142","1,025",117,842
"Precinct 1320216242","1,097",991,106,793
"Precinct 1320216243","1,403","1,225",178,986
"Precinct 1320216244","1,485","1,236",249,922
"Precinct 1320216245","1,257","1,138",119,977
"Precinct 1320216246","1,286","1,161",125,976
"Precinct 1320216247",922,829,93,645
"Precinct 1320216248","1,061","1,000",61,857
"Precinct 1320216249","1,365","1,309",56,"1,178"
"Precinct 1320216250","1,323","1,244",79,"1,081"
"Precinct 1320216251","1,192","1,035",157,867
"Precinct 1320516532",768,647,121,500
"Precinct 1320516533","1,634","1,442",192,925
"Precinct 1320516534","1,492","1,348",144,837
"Precinct 1320516535","1,640","1,489",151,943
"Precinct 1320516536","1,310","1,197",113,706
"Precinct 1320516537","1,581","1,387",194,780
"Precinct 1320516538","1,279","1,140",139,675
"Precinct 1320516539","1,190","1,060",130,636
"Precinct 1320616608","1,390","1,303",87,"1,152"
"Precinct 1320616616","1,326","1,246",80,"1,101"
"Precinct 1320616620","1,492","1,225",267,945
"Precinct 1320616621","1,342","1,165",177,957
"Precinct 1320616632","1,217","1,091",126,954
"Precinct 1320616633","1,221","1,137",84,995
"Precinct 1320616634",926,869,57,761
"Precinct 1320616635","1,470","1,333",137,"1,126"
"Precinct 1320616636","1,237","1,142",95,"1,002"
"Precinct 1320616637","1,236","1,160",76,"1,019"
"Precinct 1320616638",708,663,45,578
"Precinct 1320616639","1,129","1,032",97,913
"Precinct 1320616640","1,515","1,390",125,"1,216"
"Precinct 1320916902","1,719","1,251",468,818
"Precinct 1320916907","1,650","1,387",263,960
"Precinct 1320916913","1,533","1,400",133,"1,143"
"Precinct 1320916914","1,174","1,072",102,912
"Precinct 1320916915","1,235","1,103",132,882
"Precinct 1320916925",776,737,39,622
"Precinct 1320916926",820,763,57,627
"Precinct 1320916939",920,773,147,568
"Precinct 1330516516",846,723,123,478
"Precinct 1330516520","5,076","2,408","2,668",652
"Precinct 1330516521","1,300","1,121",179,741
"Precinct 1330616601",670,621,49,528
"Precinct 1330616602","1,108",933,175,734
"Precinct 1330616603","1,165",985,180,738
"Precinct 1330616604","2,047","1,527",520,903
"Precinct 1330716701","1,377","1,165",212,790
"Precinct 1330716702","1,523","1,352",171,"1,153"
"Precinct 1330716703",754,677,77,572
"Precinct 1330716704",980,856,124,620
"Precinct 1330716705","1,554","1,376",178,"1,152"
"Precinct 1330716706","1,135","1,061",74,955
"Precinct 1330716707",902,814,88,736
"Precinct 1330716708","1,579","1,390",189,"1,234"
"Precinct 1330716709",924,825,99,653
"Precinct 1330716710",973,885,88,749
"Precinct 1330716711",524,463,61,353
"Precinct 1330716712",326,281,45,203
"Precinct 1330716713","1,146","1,019",127,862
"Precinct 1330716714","1,392","1,153",239,620
"Precinct 1330716715","1,282","1,138",144,560
"Precinct 1330716716","1,111",966,145,480
"Precinct 1330716717","1,269","1,087",182,600
"Precinct 1330716718","1,262","1,090",172,565
"Precinct 1330716719","1,064",943,121,543
"Precinct 1330716720","1,323","1,053",270,562
"Precinct 1330716721","1,008",903,105,578
"Precinct 1330716722","1,222","1,106",116,645
"Precinct 1330716723","1,125","1,037",88,565
"Precinct 1330716724","1,143","1,013",130,608
